MODULANAME|RPTFILENAME|FieldCnt
MRP|;MRPAB;MRPAB2;MRPAB3;|4
MRP|;MRPAB;MRPAD;|1
MRP|;MRPAC;|20
MRP|;MRPAC;MRPBEA1;|1
MRP|;MRPAD;|9
MRP|;MRPAD;MRPAB2;|4
MRP|;MRPAE;|9
MRP|;MRPAF;|7
MRP|;MRPAG;|4
MRP|;MRPAGB1;|2
MRP|;MRPAL;|6
MRP|;MRPAM;|6
MRP|;MRPAZ;|10
MRP|;MRPBC;|10
MRP|;MRPBC;MRPFL;MRPFM;MRPFN;MRPFO;|3
MRP|;MRPBE;|10
MRP|;MRPBE;MRPBE2;|6
MRP|;MRPBEA1;|16
MRP|;MRPBF;|5
MRP|;MRPBG;|5
MRP|;MRPBK;MRPBP;|6
MRP|;MRPBL;|1
MRP|;MRPBP;|14
MRP|;MRPBR;|9
MRP|;MRPBX;|9
MRP|;MRPEC;|5
MRP|;MRPEC;MRPEG;|1
MRP|;MRPED;|3
MRP|;MRPED;MRPEG;|1
MRP|;MRPEE;|6
MRP|;MRPEE;MRPAC;MRPPU;|1
MRP|;MRPEE;MRPBE;MRPAG;|1
MRP|;MRPEE;MRPFL;MRPFM;MRPFN;MRPFO;|1
MRP|;MRPEE;MRPFL;MRPFM;MRPFN;MRPFO;MRPFK;|1
MRP|;MRPEF;|1
MRP|;MRPEG;|5
MRP|;MRPEG;MRPAC;|2
MRP|;MRPEG;MRPAM;MRPBEA1;|1
MRP|;MRPEL;MRPEM;|12
MRP|;MRPFJ;|2
MRP|;MRPFK;|11
MRP|;MRPFL;MRPFM;MRPFN;MRPFO;|19
MRP|;MRPFL;MRPFM;MRPFN;MRPFO;MRPFK;|3
MRP|;MRPFP2;|51
MRP|;MRPPU;|15
MRP|MRPAA|3
POS|NULL|16
POS|;POSAD;|5
POS|;VARDEF;|21
POS|POSAC|24
POS|POSAD|15
POS|POSDB|21
POS|POSFA|2
POS|POSFC|5
POS|POSFD|17
POS|POSFF|14
POS|POSFG|9
POS|POSFH|11
SGT|NULL|21
SGT|SALCONF|16
SGT|SBTCB|1
SGT|SGT|18
SGT|SGTBA|15
SGT|SGTBA;SGTBC|3
SGT|SGTBC|15
SGT|SGTBZ|1
SGT|SGTCA;SGTGA|1
SGT|SGTCB|31
SGT|SGTCB;SALCONF|1
SGT|SGTCB;SGTEA;SGTEB|1
SGT|SGTCB;SGTEA;SGTEB;SGTGA|1
SGT|SGTDA;SGTDB|1
SGT|SGTDA;SGTDB;SGTDC;SGTDD|2
SGT|SGTDC;SGTDD|2
SGT|SGTDC;SGTDD;SGTDE;SGTDF|5
SGT|SGTEA;SGTEB|8
SGT|SGTEA;SGTEB;SGTEC|1
SGT|SGTEC|3
SGT|SGTGA|2
SGT|SGTba|1
SGT|SGTbc|1
TAX|NULL|44
TAX|;TAX401;|7
TAX|;TAX401;TAX403;|63
TAX|;TAX401;TAX403;TAXDGA|1
TAX|;TAX403;|36
TAX|;TAX403;TAX401;|1
TAX|;TAXDF;|15
TAX|;TAXDGA;|40
TAX|;TAXDGA;TAXDGB;|5
TAX|;TAXDGB;|14
TAX|;TAXDH;|29
TAX|;TAXDH;TAXDJ;|2
TAX|;TAXDI;|23
TAX|;TAXDJ;|45
WAG|NULL|15
WAG|;WAGAA;|41
WAG|;WAGAA;WAGDJ;|1
WAG|;WAGAF2;|7
WAG|;WAGBC;|3
WAG|;WAGCD;|21
WAG|;WAGCD;WAGDE;WAGDG;WAGDI;|1
WAG|;WAGCD;WAGDG;WAGDH;WAGCH;|1
WAG|;WAGCD;WAGDJ;|1
WAG|;WAGCH;|16
WAG|;WAGCH;WAGDJ;|2
WAG|;WAGDE;|16
WAG|;WAGDE;WAGDG;WAGDI;|1
WAG|;WAGDE;WAGDH;|1
WAG|;WAGDG;|11
WAG|;WAGDG;WAGDI;|3
WAG|;WAGDG;WAGDI;WAGFC;|1
WAG|;WAGDH;|18
WAG|;WAGDH;WAGDJ;|2
WAG|;WAGDI;|5
WAG|;WAGDJ;|11
WAG|;WAGFC;|2
WAG|;WAGFC;WAGFD;|1
WAG|;WAGFD;|3
WAG|;WAGGL;|5
WAG|;WAGGL;WAGCH;|1
秈|;INVAG;|1
进|NULL|8
进|;INVAB;|1
进|;INVDB2;|2
进|;INVDB;|1
人|NULL|1
人|;WAGBC;|8
人|;WAGCH;|1
收|NULL|2
收|;MONAL;|1
收|;MONAR;|3
收|;MONBR;|3
系|NULL|1
增|NULL|2
增|;TAXDJ;|3
总|NULL|4
总|;ACCGCJD;|23
