MENU_NAME|REM|REM_GB|MF_TABLE|TF_TABLE
AccAJ_IFRS|部门分摊主库|部门分摊主库|ASHR|ASHR1
MrpCut|裁板作业|裁板作业|MF_CUT|TF_CUT
SgtAC|材料BOM表|材料BOM表|MF_EBOM_SGT|TF_EBOM_SGT
|材料存货评价分析|材料存货评价分析|OT_MF_CX|OT_TF_CX
MrpAD|材料需求单|材料需求单|MF_MN|TF_MN1
InvAFC|采购变更作业|采购变更作业|MF_BG|TF_BG
InvAF|采购单|采购单|MF_POS|TF_POS
InvHC|采购核价单|采购核价单|MF_HJ|TF_HJ
MrpALC|采购商品转单|采购商品转单|MF_SCPO|TF_SCPO
InvAG|采购退回|采购退回|MF_POS|TF_POS
InvAFA|采购需求分析|采购需求分析|MF_XQ|TF_XQ
SgtAGB1|采购转受订|采购转受订|MF_ZD|TF_ZD
SgtAGB2|采购转受订再转采购|采购转受订再转采购|MF_ZD|TF_ZD
FasECB|仓库资料|仓库资料|MY_WH|
InvCRB|产品配销发货作业|产品配销发货作业|MF_PX|TF_PX
MrpAZD|长周期物料分析作业|长周期物料分析作业|MF_OLC|TF_OLC1
DRPOY|超预算申请单|超预算申请单|MF_DOY|TF_DOY
|成品存货评价分析|成品存货评价分析|OT_MF_CY|OT_TF_CY
InvXC|成品缴库[存货]|成品缴库[存货]|MF_IJ|TF_IJ
WagTYAA|成品制程生产|成品制程生产|ZCSC_MF|
OthHZYQBH|出货抽样检验|出货抽样检验||
FasCHK60|出货单|出货单|MF_CH|TF_CH
InvFS|出货检验单|出货检验单|MF_QC|TF_QC
InvGB|出货送检|出货送检|MF_TI|TF_TI
OthHZYQBI|出货验货报告(惠州兆吉)|出货验货报告(惠州兆吉)||
InvFP|出货验收单|出货验收单|MF_TY|TF_TY
SgtBCA|出口报关单|出口报关单|MF_RG_SGT|TF_RG_SGT
InvIB|出库单|出库单|MF_CK|TF_CK
InvIO|出库退回单|出库退回单|MF_CK|TF_CK
MonAR|传真回款输入|传真回款输入|FAX_DATA|
WagBOA|辞/离职申请单|辞/离职申请单|MF_CZSQ|TF_CZSQ
SYSPRST|促销单|促销单|PROMO|PROMO1
SYSPRST|促销设定|促销设定|PROMO|PROMO1
InvDD|存货调拨单|存货调拨单|MF_IC|TF_IC
InvDX|存货调拨通知单|存货调拨通知单|MF_ID|TF_ID
InvDE|存货调整单|存货调整单|MF_IJ|TF_IJ
InvFT|存货检验单|存货检验单|MF_QC|TF_QC
InvDB|存货盘点|存货盘点|MF_PT|TF_PT
InvDBA|存货盘点[批号]|存货盘点[批号]|MF_PT|TF_PT
InvGC|存货送检|存货送检|MF_TI|TF_TI
InvFQ|存货验收单|存货验收单|MF_TY|TF_TY
AccAP|待摊费用分摊作业|待摊费用分摊作业|MF_FT|TF_FT
FasRFA|单据属性设置|单据属性设置||
InvIZ|到货确认单|到货确认单|MF_IZ|TF_IZ
AccAB|抵销凭证|抵销凭证|VHED|VDTL
AccLD|递延收入/成本回冲处理|递延收入/成本回冲处理|MF_DYHC|TF_DYHC
AccAV|递延收入回冲处理|递延收入回冲处理|MF_SA_IFRS|TF_SA_IFRS
MngAC|电脑卡号建立|电脑卡号建立||
AccAB|调整凭证|调整凭证|VHED|VDTL
MrpADA|订单变更分析作业|订单变更分析作业|MF_DA|TF_DA
MrpAX|订单配方|订单配方|MF_BOM_SO|TF_BOM_SO
MrpAIE|订单配方批次更改|订单配方批次更改|MF_ECN_GX|TF_ECN_GX
MrpAIB|订单配方物料更改|订单配方物料更改|MF_ECN|TF_ECN
OthSh00003|订单评审|订单评审|MF_PINGSO|MF_PINGSO
WagCCD|订单数量核发|订单数量核发|MF_WQ|TF_WQ
PosBD|订货销售|订货销售||
INV|动态流程单号|动态流程单号|MF_DTLC|TF_DTLC
DRPDZ|动态流程单号|动态流程单号|MF_DTLC|TF_DTLC
TaxAA|独立开立发票作业|独立开立发票作业|INV_NO|INV_NO1
AccCK|对象别明细表|对象别明细表||
AccCK1|对象别明细表[单科目]|对象别明细表[单科目]||
MonBB|多厂商付款|多厂商付款|MF_MON|TF_MON
MonAB|多客户收款|多客户收款|MF_MON|TF_MON
InvADE|发货计划单|发货计划单|MF_FHJH|TF_FHJH
PosEE|返货单|返货单||
DRPRG|返利单|返利单|MF_RG|TF_RG
InvCAA|放行单|放行单|MF_FA|TF_FA
INVXK|非生产补料单|非生产补料单|MF_IJ|TF_IJ
MrpAGA|非生产领料|非生产领料|MF_IJ|TF_IJ
MrpAGC|非生产领料申请单|非生产领料申请单|MF_SQD|TF_SQD
MrpAGG|非生产退料|非生产退料|MF_IJ|TF_IJ
MrpAGF|非生产退料申请单|非生产退料申请单|MF_SQD|TF_SQD
MrpBL|非生产性送检来源单|非生产性送检来源单||
DRPHX|费用核销单|费用核销单|MF_FYHX|TF_FYHX
DRPFYSQ|费用申请单|费用申请单|MF_FYSQ|TF_FYSQ
PosFH|分店调拨单|分店调拨单||
OthZSLG_PD|分切排刀作业|分切排刀作业|MF_PD_LG|TF_PD_LG1
Up_DefC|分摊开模费的采购政策|分摊开模费的采购政策|UP_DEF_MOD|
DrpBH|分销备货单|分销备货单|MF_DBH|TF_DBH
DrpCW|分销出库任务单|分销出库任务单|MF_DCW|TF_DCW
DrpPH|分销配送单|分销配送单|MF_DPH|TF_DPH
DrpYI|分销退货申请|分销退货申请|MF_DYH|TF_DYH
DrpYH|分销要货申请单|分销要货申请单|MF_DYH|TF_DYH
MrpAFD|副产品补录单|副产品补录单|MF_BL_FCP|TF_BL_FCP
MonBA|付款单|付款单|TF_MON|TC_MON
MonBR|付款申请作业|付款申请作业|TF_MONML|TF_CLSML
MrpCutB|钢材板裁切作业|钢材板裁切作业|MF_GCB|TF_GCB
OthGSPGA|高树派工单|高树派工单|MF_PG_GS|TF_PG_GS
OthGSPGB|高树异常派工单|高树异常派工单|MF_PG_GS|TF_PG_GS
OthGSZZDA|高树制作单|高树制作单|MF_POS_GS|TF_POS_GS
WagCFA|各类奖金发放作业|各类奖金发放作业|MF_FJ|TF_FJ
AccAB|更正凭证|更正凭证|VHED|VDTL
AccGA1|工程案号设置|工程案号设置|CASN|
AccGCYG|工程材料耗用明细表|工程材料耗用明细表||
AccGCJZ|工程成本结帐切制传|工程成本结帐切制传|MF_GC|TF_GC
SYSCASN|工程项目单|工程项目单|CASN|
OthNJFSB|工程预算调整单|工程预算调整单|MF_YSTZ.DB|TF_YSTZ.DB
OthNJFSA|工程预算清单|工程预算清单|MF_GCYS.DB|TF_GCYS.DB
FASGYPG|供应商评估表|供应商评估表|MF_GYPG|TF_GYPG
FASPG|供应商评估方案|供应商评估方案|MF_PGFA|TF_PGFA
DRPDO|公文流转单据|公文流转单据|MF_DOC|MF_DOC
INVGK|购卡充值|购卡充值|MF_GK|
OthAA|估价单(印刷业)|估价单(印刷业)|MF_NCQ_MC|TF_NCQA_MC
WagDPA|股利资料|股利资料|MF_SHARE1|TF_SHARE1
MTNZF|故障配方|故障配方|MF_FBOM|TF_FBOM
|固定及实际费用差异表|固定及实际费用差异表|OT_MF_DIFF|OT_TF_DIFF
FixSP_IFRS|固定资产IFRS拆分作业|固定资产IFRS拆分作业|MF_FX_CF|TF_FX_CF
FixBA|固定资产报废|固定资产报废|MF_FX|TF_FX
FixAG|固定资产采购单|固定资产采购单|MF_POS_FX|TF_POS_FX
FixSP|固定资产拆分作业|固定资产拆分作业|MF_FX_CF|TF_FX_CF
FixBA|固定资产出售|固定资产出售|MF_FX|TF_FX
FixQJ|固定资产检验单|固定资产检验单|MF_QC|TF_QC
FixBA|固定资产交换|固定资产交换|MF_FX|TF_FX
FixPD|固定资产盘点单|固定资产盘点单|MF_PD|TF_PD
FixAF|固定资产请购单|固定资产请购单|MF_SQ_FX|TF_SQ_FX
FixT0|固定资产入库单|固定资产入库单|MF_TI|TF_TI
FixBA|固定资产停用|固定资产停用|MF_FX|TF_FX
FixAA|固定资产维护|固定资产维护|MF_FX|TF_FX
FixBA|固定资产修改|固定资产修改|MF_FX|TF_FX
FixET|固定资产验收单|固定资产验收单|MF_TY|TF_TY
FixYJ|固定资产验收退回单|固定资产验收退回单|MF_TY|TF_TY
FixAI|固定资产异动申请单|固定资产异动申请单|MF_FB|TF_FB
FixAA|固定资产增加|固定资产增加|MF_FX|TF_FX
FixBA|固定资产折旧|固定资产折旧|MF_FX|TF_FX
FixBA|固定资产征收|固定资产征收|MF_FX|TF_FX
WagCEE|雇主補充保費計算|雇主補充保費計算|MF_JX|TF_JX
InvDZ|国内PACK & INVOICE|国内PACK & INVOICE|MF_IPL|TF_IPL
InvDY|国外INVOICE PackList|国外INVOICE PackList|MF_IPW|TF_IPW
SgtBF|合同变更|合同变更|CNTT_CHG_SGT|MF_PL_CHG_SGT
SgtAB|合同耗料表|合同耗料表|MF_BOM_SGT|TF_BOM_SGT
SgtBA|合同手册备案|合同手册备案|CNTT_SGT|MF_PL_SGT
CustPact|合约|合约|CUS_PACT|
FixBA|回冲资产减值准备|回冲资产减值准备|MF_FX|TF_FX
FasEH6|会计科目|会计科目|ACCN|
DRPCC|会员换卡单|会员换卡单||
MrpKB|货品单包资料设定|货品单包资料设定|BZZL|BZPZ
MrpKBD|货品多包资料设定|货品多包资料设定|BZZL|BZPD
FasECA|货品基础资料|货品基础资料|PRDT|
MrpFK|货品检验标准设定|货品检验标准设定|MF_SQC|TF_SQC
FasECN|货品特征建模作业|货品特征建模作业|PRD_MARK|
InvJB|货运执行|货运执行|CARRY|NULL
FasECAG|基础资料变更作业|基础资料变更作业|MF_CHG|TF_CHG
DRPJF|积分|积分|MF_JF|
PosIE|积分调整作业|积分调整作业||
DRPCH|积分兑换记录|积分兑换记录|MF_JFCHG|TF_JFCHG
PosID|积分兑换作业|积分兑换作业||
SgtFD|即期信用状赎单作业|即期信用状赎单作业|MF_LCR|TF_LCR
MrpAAA|计划单变更作业|计划单变更作业|MF_CHG|TF_CHG
OTHJHPC|计划排程单|计划排程单|MF_AJ|TF_AJ
WagAK|计件工资单价表|计件工资单价表|MF_JJ|TF_JJ
WagAKN|计件工资单价表(专案)|计件工资单价表(专案)|MF_JJN|TF_JJN
FixBA|计提资产减值准备|计提资产减值准备|MF_FX|TF_FX
MngBM|加班申请单|加班申请单|MF_JBSQ|TF_JBSQ
MrpEPA|加工顺序调整作业|加工顺序调整作业|MF_ECN_PA|TF_ECN_PA
MrpFGE|检验方案设定作业|检验方案设定作业|MF_QC_PRJ|TF_QC_PRJ
MrpFP|检验数据记录单|检验数据记录单|MF_MQC|TF_MQC
WagCD|奖惩异动输入|奖惩异动输入||
MrpAFC|缴库单|缴库单|MF_MM0|TF_MM0
InvCD|借出单|借出单|MF_BLN|TF_BLN
InvCE|借出还入|借出还入|MF_BLN|TF_BLN
InvBD|借入单|借入单|MF_BLN|TF_BLN
InvBE|借入还出|借入还出|MF_BLN|TF_BLN
InvBA|进货单|进货单|MF_PSS|TF_PSS
InvBO|进货费用分摊作业|进货费用分摊作业|MF_FF|TF_FF
InvFI|进货检验单|进货检验单|MF_QC|TF_QC
InvBZC|进货开票[已立帐]|进货开票[已立帐]|MF_LZ1|TF_LZ1
InvBZ|进货立帐开票|进货立帐开票|MF_LZ1|TF_LZ1
InvBZ|进货立帐开票[借入]|进货立帐开票[借入]|MF_LZ1|TF_LZ1
InvBZ|进货立帐开票[进货]|进货立帐开票[进货]|MF_LZ1|TF_LZ1
InvBZ|进货立帐开票[模具]|进货立帐开票[模具]|MF_LZ1|TF_LZ1
InvBZ|进货立帐开票[托外]|进货立帐开票[托外]|MF_LZ1|TF_LZ1
InvGA|进货送检|进货送检|MF_TI|TF_TI
InvBB|进货退回|进货退回|MF_PSS|TF_PSS
SgtAGH1|进货退回转托工退料|进货退回转托工退料|MF_ZD|TF_ZD
InvFB|进货验收单|进货验收单|MF_TY|TF_TY
InvBC|进货折让|进货折让|MF_PSS|TF_PSS
AccDL|进货逐单回冲|进货逐单回冲|MF_HC|TF_HC
SgtAGD1|进货转销货|进货转销货|MF_ZD|TF_ZD
SgtAGD2|进货转销货再转进货|进货转销货再转进货|MF_ZD|TF_ZD
SgtBBA|进口报关单|进口报关单|MF_RG_SGT|TF_RG_SGT
SgtAGJ1|进退转销退|进退转销退|MF_ZD|TF_ZD
SgtAGJ2|进退转销退再转进退|进退转销退再转进退|MF_ZD|TF_ZD
TaxCA|进项凭证输入|进项凭证输入|MF_METH|MF_METH
OthMFEB|开发试料单|开发试料单|MF_TRIAL|TF_TRIAL
OthMFED|开发试料领料单|开发试料领料单|MF_TRIAL|TF_TRIAL
OthMFEC|开发试料确认单|开发试料确认单|MF_TRIAL|TF_TRIAL
MonCJ|开立票据作业|开立票据作业|MF_CHK1|TF_CHK1
InvPB|开纱检验单|开纱检验单||
AccAOA|开帐凭证|开帐凭证|VHED|VDTL
AccAOA|开帐凭证|开帐凭证|VHED|VDTL
MngBA|考勤异动资料登录|考勤异动资料登录|TF_KQTZ|
OthDFNA|科目预算调整单|科目预算调整单|MF_ABGT|TF_ABGT
AccAD|科目预算输入|科目预算输入|ABGT|ABGT1
DRPIV|客户拜访记录单|客户拜访记录单|CUS_VISIT|
FasEA|客户厂商资料|客户厂商资料|CUST|
MONBC|客户储值变动单|客户储值变动单|MF_CBAC|TF_CBAC
MTNKH|客户合约|客户合约|CUS_PACT|CUS_PACT1
CUST_COMPLAIN|客户投诉单|客户投诉单|KHTS_QA|
MrpFRR|客户投诉输入作业|客户投诉输入作业|KHTS_QA|
CRMQA|客户问题处理|客户问题处理|MF_QA|TF_QA
InvABD|客户询价单|客户询价单|MF_QTS|TF_QTS
DrpYG|客户预定单|客户预定单|MF_YD|TF_YD
InvDL|库存安全存量明细表|库存安全存量明细表||
InvDEE|库存报废单|库存报废单|MF_IJ|TF_IJ
InvDXB|库存调拨申请单|库存调拨申请单|MF_DS|TF_DS
INVZQ|礼卷发放作业|礼卷发放作业|MF_ZQ|TF_ZQ
PosAFB|礼券发售单|礼券发售单|POSTK0|POSTK1
TaxDD|零税率清单输入|零税率清单输入|MF_ZERO|TF_ZERO
FIXCHG|零组件变更作业|零组件变更作业|MF_FCG|TF_FCG
SvsBA|领/退料单|领/退料单|MF_MAT|TF_MAT
MrpFV|领料检验单|领料检验单|MF_QC|TF_QC
MrpAGW|领料申请单批次结案|领料申请单批次结案|MF_PM|TF_PM
MrpBLD|领料送检|领料送检|MF_TI|TF_TI
MrpBB|领料验收单|领料验收单|MF_TY|TF_TY
FASCHKAM|硫化缴库单|硫化缴库单|MF_LHMM_SLS|TF_LHMM_SLS
INVTRAD|贸易资料|贸易资料|TRAD_MTH|
MngCA|每日出勤登录|每日出勤登录|TF_KQ|
FASEJ|密码管理|密码管理|PSWD|
OthMCAE|明彩印刷生产工程单|明彩印刷生产工程单|MF_GD_MC|TF_GD1_MC
AccCEA|明细分类帐|明细分类帐||
MrpFD|模具报废单|模具报废单|MF_MU|TF_MU
MojAEB|模具报废单|模具报废单|MF_ST_M|MF_ST_M
OthMFDJ|模具变更作业|模具变更作业|MF_BG_MOD|
MojAM|模具采购单|模具采购单|MF_POS_FX|TF_POS_FX
MojBO|模具出入库单|模具出入库单|MF_MJAA|TF_MJAA
MojAP|模具调拨单|模具调拨单|MF_DB_M|TF_DB_M
MojAC|模具购入单|模具购入单|MF_GR_M|TF_GR_M
MrpFC|模具还回单|模具还回单|MF_MU|TF_MU
MojAA1|模具基础资料|模具基础资料|MOLD|
MrpFB|模具领用单|模具领用单|MF_MU|TF_MU
MojAIA|模具内修完工入库单|模具内修完工入库单|MF_RX_M|TF_RX_M
MojBN|模具盘点单|模具盘点单|MF_MJPT|TF_MJPT
MojAJ|模具启用单|模具启用单|MF_QY_M|TF_QY_M
MojAL|模具请购单|模具请购单|MF_SQ_FX|TF_SQ_FX
MojAH|模具生产还入单|模具生产还入单|MF_RSC|TF_RSC
MojAF|模具生产领用单|模具生产领用单|MF_MSC|TF_MSC
MojBL|模具摊销作业|模具摊销作业|MF_TX_M|TF_TX_M
MojAEA|模具停用单|模具停用单|MF_ST_M|TF_ST_M
MojAIB|模具完修单|模具完修单|MF_RX_M|TF_RX_M
MojAGA|模具维修单[内修]|模具维修单[内修]|MF_WX_M|TF_WX_M
MojAGB|模具维修单[委外]|模具维修单[委外]|MF_WX_M|TF_WX_M
MojAD|模具维修计划[内修]|模具维修计划[内修]|MF_WJ_M|TF_WJ_M
MojAD|模具维修计划单[委外]|模具维修计划单[委外]|MF_WJ_M|TF_WJ_M
MojBE|模具异常报告单|模具异常报告单|MF_MJYCBG|TF_MJYCBG
MrpMLPS|模拟评审分析|模拟评审分析|MF_MLPS|
AccAU|年初递延收入录入作业|年初递延收入录入作业|MF_DYSR|TF_DYSR
MrpANL|挪料单|挪料单|MF_NL|TF_NL
OthDGWD_APS|排产作业(沃德专案)|排产作业(沃德专案)|MF_APS_WD|TF_APS_WD1
SvsEA|派工单|派工单|MF_PG|TF_PG
PosEB|配货单|配货单||
PosEA|配货计划作业|配货计划作业||
DRPOR|配件申请单|配件申请单|MF_PJSQ|TF_PJSQ
DRPOP|配件退回申请单|配件退回申请单|MF_PJSQ|TF_PJSQ
InvGE|配送退回送检|配送退回送检|MF_TI|TF_TI
InvFV|配送退回验收单|配送退回验收单|MF_TY|TF_TY
MonBC|批次冲销付款|批次冲销付款|MF_CLS|TF_CLS
MonAC|批次冲销收款|批次冲销收款|MF_CLS|TF_CLS
MonCC421|批次兑现[付票]|批次兑现[付票]|MF_TCHK|TF_TCHK
MonCC42|批次兑现[收票]|批次兑现[收票]|MF_TCHK|TF_TCHK
MonBT|批次汇款冲销作业|批次汇款冲销作业|MF_CLS_HK|TF_CLS_HK
MonCL|批次开票作业|批次开票作业|MF_KP|TF_KP
InvIKA|批次开票作业[已立帐]|批次开票作业[已立帐]|MF_PCLZ|TF_PCLZ
InvICA|批次立帐开票作业|批次立帐开票作业|MF_PCLZ|TF_PCLZ
MrpAGU|批次领料申请单|批次领料申请单|MF_LQ|
MrpAGB|批次领料作业|批次领料作业|MF_LM|
|批次派工单|批次派工单|MF_SCPG|TF_SCPG
AccDC|批次切制传票|批次切制传票|MF_AC|TF_AC
WagPJ|批次请假单|批次请假单|MF_PJ|TF_PJ
MrpERW|批次生产日报|批次生产日报|MF_RW|TF_RW2
MonCC45|批次贴现|批次贴现|MF_TCHK|TF_TCHK
MrpBEA|批次托工单|批次托工单|MF_WT|
MonCC41|批次托收|批次托收|MF_TCHK|TF_TCHK
FixBB|批次折旧|批次折旧|MF_BD|TF_BD
FixBB|批次折旧|批次折旧|MF_BD|TF_BD
MrpACF|批次制令单|批次制令单|MF_BJ|
FasCHKBAT|批号检测|批号检测||
DrpXH|期初调整单|期初调整单|MF_IJ|TF_IJ
MrpHSB|期初生产通知单|期初生产通知单|MF_TZ|TF_TZ
MrpHSC|期初托工单|期初托工单|MF_TW|TF_TW
MrpHSA|期初制令单|期初制令单|MF_MO|TF_MO
MonExr|其它收入|其它收入|MF_EXP|TF_EXP
InvXR|其它收入|其它收入||
FixXS|其它收入|其它收入||
FixXT|其它支出|其它支出||
MonExp|其它支出|其它支出|MF_EXP|TF_EXP
InvXP|其它支出|其它支出||
MrpBY|齐套分析|齐套分析|MF_QTFX|TF_QTFX
OTHBPI|气立客户诉愿单|气立客户诉愿单|YD_COMP|T
OTH00393|气立特采单|气立特采单|YA_YP|
OTH00407|气立维修/退休单|气立维修/退休单|MF_RO|TF_RO
OTH00415|气立维修结案单|气立维修结案单|MF_RO|TF_RO1
OTHBPG|气立异常处理单|气立异常处理单|YA_EXCEP|
MrpBX|切割试算单|切割试算单|MF_TE|TF_TE
InvAQC|请购变更|请购变更|MF_CHG|TF_CHG
InvAQ|请购单|请购单|MF_SQ|TF_SQ
InvAQD|请购汇总单|请购汇总单|MF_QGHZ|TF_QGHZ
WagBMB|请假登录单|请假登录单|MF_VC|
MngBDB|请假登录单|请假登录单|MF_VC|
MrpAM|请制单|请制单|MF_RM|TF_RM
MrpAL|缺料表|缺料表|MF_SCPO|TF_SCPO
MrpALA|缺料调拨维护|缺料调拨维护|MF_SCPO1|TF_SCPO1
DrpSCPO|缺料通知|缺料通知|MF_SCPO|TF_SCPO
WagBA|人事基本资料|人事基本资料|MF_YG|
WagBA|人事基本资料设置|人事基本资料设置||
MngBC|人员调班作业|人员调班作业|MF_YT|TF_YT
WagBC|人员调薪作业|人员调薪作业|MF_TS|TF_TS1
InvXI|入库单|入库单||
SgtKA|三角转单|三角转单||
|商城订单号|商城订单号||
SebBBD|设备保养记录单|设备保养记录单|MF_BYJL|TF_BYJL
SebAP|设备采购单|设备采购单|MF_POS_FX|TF_POS_FX
SebBN|设备出入库单|设备出入库单|MF_SBAA|TF_SBAA
SebAI|设备调拨单|设备调拨单|MF_DB_S|TF_DB_S
SebAA|设备购入单|设备购入单|MF_GR_S|TF_GR_S
SEBAN1|设备基础资料|设备基础资料|SEBEI|
SebBG|设备盘点单|设备盘点单|MF_SBPT|TF_SBPT
SebAH|设备启用单|设备启用单|MF_QY_S|TF_QY_S
SebAO|设备请购单|设备请购单|MF_SQ_FX|TF_SQ_FX
SebAF|设备停用单|设备停用单|MF_ST_S|TF_ST_S
SebAEA|设备完修单[内修]|设备完修单[内修]|MF_RX_S|TF_RX_S
SebAEB|设备完修单[委外]|设备完修单[委外]|MF_RX_S|TF_RX_S
SebADA|设备维修单[内修]|设备维修单[内修]|MF_WX_S|TF_WX_S
SebADB|设备维修单[委外]|设备维修单[委外]|MF_WX_S|TF_WX_S
SebACA|设备维修计划[内修]|设备维修计划[内修]|MF_WJ_S|TF_WJ_S
SebACB|设备维修计划单[委外]|设备维修计划单[委外]|MF_WJ_S|TF_WJ_S
SebCA|设备维修领料单|设备维修领料单|MF_IJ|TF_IJ
SebCB|设备维修退料单|设备维修退料单|MF_IJ|TF_IJ
SebBBE|设备异常报告单|设备异常报告单|MF_SBYCBG|TF_SBYCBG
SgtBDA|深加工结转申请|深加工结转申请|MF_GF_SGT|TF_GF_SGT
AccAA|审核凭证|审核凭证|VHED|VDTL
MrpAZ|生产变更作业|生产变更作业|MF_CS|TF_CS
MrpAGJ|生产补料|生产补料|MF_ML|TF_ML
MrpAGQ|生产补料申请单|生产补料申请单|MF_QL|TF_QL
OthHZYQBB|生产绩效任务单——回报|生产绩效任务单——回报|MF_SCJX_HZYQ|TF_SCJX_HZYQ
OthHZYQBA|生产绩效任务单——下达|生产绩效任务单——下达|MF_SCJX_HZYQ|TF_SCJX_HZYQ
MrpAA|生产计划|生产计划|MF_JH|TF_JH
MrpBN|生产缴库验收单|生产缴库验收单|MF_TY|TF_TY
MrpAZA|生产料件变更作业|生产料件变更作业|MF_CG|TF_CG
MrpAG|生产领料|生产领料|MF_ML|TF_ML
InvXA|生产领料[存货]|生产领料[存货]|MF_IJ|TF_IJ
MrpAGO|生产领料申请单|生产领料申请单|MF_QL|TF_QL
MrpEN|生产派工单|生产派工单|MF_SCPG|TF_SCPG
MrpEG|生产日报表|生产日报表|MF_WR|TF_WR
MrpEE|生产通知单|生产通知单|MF_TZ|TF_TZ
MrpAGI|生产退料|生产退料|MF_ML|TF_ML
InvXB|生产退料[存货]|生产退料[存货]|MF_IJ|TF_IJ
MrpAGP|生产退料申请单|生产退料申请单|MF_QL|TF_QL
MrpABA|生产需求分析单|生产需求分析单|MF_MP|TF_MP1
FasCHK37|实际领料单|实际领料单|MF_SJML|TF_SJML
PosFE|收货单|收货单||
MonAA|收款单|收款单|TF_MON|TC_MON
MonAX|收款申请作业|收款申请作业|TF_MONML|TF_CLSML
InvBU|收料计划单|收料计划单|MF_SL_NX|TF_SL_NX
InvBUB|收料计划分析|收料计划分析|MF_SF|TF_SF
MrpEW|手工维护制令单作业|手工维护制令单作业|MF_WM|TF_WM
MrpFEC|首件检验单|首件检验单|MF_QC_SJ|TF_QC_SJ
InvCAF|售后服务单|售后服务单|MF_SHFW|TF_SHFW
InvHD|售价核价单|售价核价单|MF_HJ|TF_HJ
PRECUST|售前客户|售前客户|PRE_CUST|
InvADA|受订变更作业|受订变更作业|MF_BG|TF_BG
InvAD|受订单|受订单|MF_POS|TF_POS
