Sch|Tbl|Cnt
dbo|TF_ML_MZ|0
dbo|TF_ML_PK|0
dbo|TF_MLCL|0
dbo|TF_MLPS1|0
dbo|TF_MLPS2|0
dbo|TF_MM_FCP|0
dbo|TF_MM1|0
dbo|TF_MN0|0
dbo|TF_MN1|0
dbo|TF_MN2|0
dbo|TF_MOD_BD|0
dbo|TF_MON|0
dbo|TF_MON1|0
dbo|TF_MON2|0
dbo|TF_MON3|0
dbo|TF_MON4|0
dbo|TF_MON5|0
dbo|TF_MONML|0
dbo|TF_MOUT|0
dbo|TF_MOUT1|0
dbo|TF_CSH|0
dbo|TF_CU|0
dbo|TF_CU1|0
dbo|TF_CUT1|0
dbo|TF_CUT2|0
dbo|TF_CUT3|0
dbo|TF_CUT4|0
dbo|TF_CV|0
dbo|TF_CYPF_FSZY|0
dbo|TF_CZSQ|0
dbo|TF_BIL|0
dbo|TF_BJ_NX|0
dbo|TF_BJFX_ZS|0
dbo|TF_BJFX1_ZS|0
dbo|TF_BJFX2_ZS|0
dbo|TF_BK|0
dbo|TF_BL_FCP|0
dbo|TF_BLN|0
dbo|TF_BLN_B|0
dbo|TF_BLN_CASE|0
dbo|TF_BLN_M|0
dbo|TF_BLN_RCV|0
dbo|TF_BLN1|0
dbo|TF_IJ1|0
dbo|TF_IJ2|0
dbo|TF_INP|0
dbo|TF_INV|0
dbo|TF_INVO|0
dbo|TF_INVO1|0
dbo|TF_IO|0
dbo|TF_IPL|0
dbo|TF_IPW|0
dbo|TF_IQTY|0
dbo|TF_IS|0
dbo|TF_IZ|0
dbo|TF_IZ1|0
dbo|TF_JB|0
dbo|TF_JB_CALC|0
dbo|TF_JBRTN|0
dbo|TF_JBSQ|0
dbo|TF_JBSQ_UTF8|0
dbo|TF_JBTZ|0
dbo|TF_JCTZ|0
dbo|TF_JD|0
dbo|TF_JFCHG|0
dbo|TF_JFCHG1|0
dbo|TF_BOM_H|0
dbo|TF_BOM_SGT|0
dbo|TF_BOM_SGT1|0
dbo|TF_BOM_SGT2|0
dbo|TF_BOM_SO|0
dbo|TF_BOM_SO_H|0
dbo|TF_BOM1|0
dbo|TF_BOM2|0
dbo|TF_BOM2_H|0
dbo|TF_BOM2_SO|0
dbo|TF_BOM2_SO_H|0
dbo|TF_BTIPL|0
dbo|TF_BTIPL1|0
dbo|TF_BVOH1|0
dbo|TF_BX|0
dbo|TF_BX_FILE|0
dbo|TF_BYJL|0
dbo|TF_BZ|0
dbo|TF_CARD|0
dbo|TF_CARD1|0
dbo|TF_CARD2|0
dbo|TF_CASN|0
dbo|TF_CB|0
dbo|TF_CC|0
dbo|TF_CD|0
dbo|TF_CFM|0
dbo|TF_CFRTO|0
dbo|TF_CG|0
dbo|TF_CG_FX1|0
dbo|TF_CG_FX2|0
dbo|TF_CG_FX3|0
dbo|TF_CGB|0
dbo|TF_CGB1|0
dbo|TF_CGB2|0
dbo|TF_CH|0
dbo|TF_CHG|0
dbo|TF_CHK|0
dbo|TF_CHK1|0
dbo|TF_CHK2|0
dbo|TF_CK|0
dbo|TF_CK_FB|0
dbo|TF_CK_RCV|0
dbo|TF_CLOCK|0
dbo|TF_CLS|0
dbo|TF_CLS_HK|0
dbo|TF_CLS_HK3|0
dbo|TF_CLS1|0
dbo|TF_CLS2|0
dbo|TF_CLS3|0
dbo|TF_CLSML|0
dbo|TF_DA_MRP|0
dbo|TF_DA_PO|0
dbo|TF_DA_PRD|0
dbo|TF_DANLY|0
dbo|TF_DATA|0
dbo|TF_DB_M|0
dbo|TF_DB_S|0
dbo|TF_DJ|0
dbo|TF_DOC|0
dbo|TF_DOC_DEP|0
dbo|TF_DOC_GUP|0
dbo|TF_DOC_USR|0
dbo|TF_DS|0
dbo|TF_DTLC|0
dbo|TF_DTLC_OK|0
dbo|TF_DTLC1|0
dbo|TF_DW|0
dbo|TF_DYH|0
dbo|TF_DYH_MSG|0
dbo|TF_DYH_RCV|0
dbo|TF_DYH_TB|0
dbo|TF_DYH_XP|0
dbo|TF_DYH1|0
dbo|TF_DYH2|0
dbo|TF_DYHC|0
dbo|TF_DYHC1|0
dbo|TF_DYSR|0
dbo|TF_DYSR_CST|0
dbo|TF_DZ|0
dbo|TF_EBOM_SGT|0
dbo|TF_ECN_FX1|0
dbo|TF_ECN_FX2|0
dbo|TF_ECN_FX3|0
dbo|TF_ECN_FX4|0
dbo|TF_ECN_GX|0
dbo|TF_ECN_PA|0
dbo|TF_ECN_ZC|0
dbo|TF_ECN1|0
dbo|TF_ECN2|0
dbo|TF_END|0
dbo|TF_EXP|0
dbo|TF_FA|0
dbo|TF_FB|0
dbo|TF_FBOM|0
dbo|TF_FCG|0
dbo|TF_FCHART|0
dbo|TF_FCHART_DX|0
dbo|TF_FF|0
dbo|TF_FHJH|0
dbo|TF_FHJH1|0
dbo|TF_FI|0
dbo|TF_FJ|0
dbo|TF_FK|0
dbo|TF_FMOD|0
dbo|TF_FMOD_RCV|0
dbo|TF_FNOD|0
dbo|TF_FNOD_RCV|0
dbo|TF_FP|0
dbo|TF_FP1|0
dbo|TF_FQ|0
dbo|TF_FRIE|0
dbo|TF_FS|0
dbo|TF_FS1|0
dbo|TF_FT|0
dbo|TF_FTCASN|0
dbo|TF_FTFY|0
dbo|TF_FX|0
dbo|TF_FX_CF|0
dbo|TF_FX_CF1|0
dbo|TF_FX1|0
dbo|TF_FX2|0
dbo|TF_GB|0
dbo|TF_GC|0
dbo|TF_GCYS|0
dbo|TF_GD1_MC|0
dbo|TF_GD2_MC|0
dbo|TF_GD3_MC|0
dbo|TF_GD4_MC|0
dbo|TF_GD5_MC|0
dbo|TF_GD6_MC|0
dbo|TF_GD7_MC|0
dbo|TF_GD8_MC|0
dbo|TF_GD9_MC|0
dbo|TF_GF_SGT|0
dbo|TF_GM|0
dbo|TF_GM1|0
dbo|TF_GR_M|0
dbo|TF_GR_S|0
dbo|TF_GRP|0
dbo|TF_GRP_CZ|0
dbo|TF_GRP_CZ1|0
dbo|TF_GRP1|0
dbo|TF_GUIDE|0
dbo|TF_GW|0
dbo|TF_GW_FILE|0
dbo|TF_GYPG|0
dbo|TF_HC|0
dbo|TASK|0
dbo|TASK_AREA|0
dbo|TASK_CARE|0
dbo|TASK_DOC|0
dbo|TASK_EXT|0
dbo|TASK_IDX|0
dbo|TASK_LNK|0
dbo|TASK_LVL|0
dbo|TASK_PRDT|0
dbo|TASK_PRDT_DZ|0
dbo|TASK_REM|0
dbo|TASK_UPD|0
dbo|TASK_YG|0
dbo|TAX_SGT|0
dbo|TAXACC|0
dbo|TAXTYPE_SGT|0
dbo|TB_ACTION|0
dbo|TB_ADDR|0
dbo|TB_HIS|0
dbo|TB_SET|0
dbo|TB_YC|0
dbo|TBLFM|0
dbo|TC_MON|0
dbo|TC_MON1|0
dbo|TC_SP|0
dbo|TCXS_NBFB|0
dbo|TEL_HIS|0
dbo|TEL_SETUP|0
dbo|TEL_SETUP1|0
dbo|TEMP_RES|0
dbo|TEMP_RES1|0
dbo|TEMP_TRANS|0
dbo|TEST_RPT_GGEC|0
dbo|TF_AC|0
dbo|TF_AC1|0
dbo|TF_ACCN_IFRS|0
dbo|TF_ACT|0
dbo|TF_AESC|0
dbo|TF_AESC1|0
dbo|TF_AESC2|0
dbo|TF_AG|0
dbo|TF_AJ|0
dbo|TF_AREP|0
dbo|TF_ATNPGM1|0
dbo|TF_ATNPGM2|0
dbo|TF_ATNPGM3|0
dbo|TF_B2E|0
dbo|TF_BA|0
dbo|TF_BA_H|0
dbo|TF_BA_PRDT|0
dbo|TF_BA_PRDTH|0
dbo|TF_BA_RCV|0
dbo|TF_BA_RCVH|0
dbo|TF_BA_YS|0
dbo|TF_BA_YSH|0
dbo|TF_BAC|0
dbo|TF_BAN|0
dbo|TF_BAR|0
dbo|TF_BD|0
dbo|TF_BDFP|0
dbo|TF_BDS|0
dbo|TF_BDUSE|0
dbo|TF_BE|0
dbo|TF_BE1|0
dbo|TF_BE2|0
dbo|TF_BFP|0
dbo|UP_DEF_MOD|0
dbo|UP_DEF1|0
dbo|UP_DEF1DZ|0
dbo|UP_DEFDZ|0
dbo|UP_HIS|0
dbo|UPPOS_ACT|0
dbo|UPPOS_ACT1|0
dbo|UPPOS_ACT2|0
dbo|UPPOS_ACT3|0
dbo|UPPOS_ACT4|0
dbo|UPPOS_CZ|0
dbo|UPPOS_DEF|0
dbo|UPPOS_DEFHIS|0
dbo|UPPOS_DEFTP|0
dbo|UPPOS_ZD|0
dbo|UPPOS_ZD1|0
dbo|UPR4_DEF|0
dbo|UPR4_DEF1|0
dbo|UPR4_HIS1|0
dbo|UPR4_HIS2|0
dbo|USE_SGT|0
dbo|USEIN|0
dbo|USERRPT|0
dbo|USERVIEW|0
dbo|USERVIEW_DEL|0
dbo|USR_PDM|0
dbo|USRSIGN|0
dbo|VDTL|0
dbo|VDTL_CLS|0
dbo|VDTL_CSH|0
dbo|VDTL_GB|0
dbo|VDTL_IFRS|0
dbo|VDTL1|0
dbo|VDTL1_GB|0
dbo|VDTL1_IFRS|0
dbo|VF_METH|0
dbo|VF_METH2|0
dbo|VF_SALE|0
dbo|VF_SALE2|0
dbo|VHED|0
dbo|VHED_COPY|0
dbo|VHED_GB|0
dbo|VHID|0
dbo|VIEW_REC|0
dbo|VIRPRD|0
dbo|VOC_SET|0
dbo|WAG_TW|0
dbo|WEBP_TBL|0
dbo|WEBPOS_DEP|0
dbo|WEBPOS_DEP1|0
dbo|WEBPOS_DEPCUR|0
dbo|WEBPOS_DEPJT|0
dbo|WEBPOS_GZ|0
dbo|WH_DSC|0
dbo|WH_SEP|0
dbo|WH_SEP1|0
dbo|WHRO|0
dbo|WKFLOW|0
dbo|WLLBBM_MC|0
dbo|WLXLBM_MC|0
dbo|WLZLBM_MC|0
dbo|XJZLGH_QC|0
dbo|XN_IQC|0
dbo|XRF_GGEC|0
dbo|XY_CRED|0
dbo|XY_JE|0
dbo|YEARTAX|0
dbo|YEARTAX1|0
dbo|YF_ROLE_FJ|0
dbo|YF_ROLE1_FJ|0
dbo|YF_ROLE2_FJ|0
dbo|YG_BAN|0
dbo|YG_CG|0
dbo|YG_CLOCK|0
dbo|YG_DEP|0
dbo|YG_PRJ|0
dbo|YGCNT|0
dbo|YGDJXS_NBFB|0
dbo|YGKHXS_NBFB|0
dbo|YM_VOH|0
dbo|YM_VOH1|0
dbo|YM_VOH2|0
dbo|ZC_DTL|0
dbo|ZC_FIN_DTL|0
dbo|ZC_NO|0
dbo|ZC_NO_DEL|0
dbo|ZC_QC_ITEM|0
dbo|ZC_REM|0
dbo|ZC_SEP|0
dbo|ZC_SEP1|0
dbo|ZCGWXS_NBFB|0
dbo|ZCJJHF_MF|0
dbo|ZCJJHF_TF|0
dbo|ZCJJHF_TF2|0
dbo|ZCSC_MF|0
dbo|ZCSC_TF1|0
dbo|ZCSC_TF2|0
dbo|ZJ_NO|0
dbo|ZL_NO|0
dbo|ZL_SET|0
dbo|ZLBM_MC|0
dbo|ZQ_REC|0
dbo|ZQ_TYPE|0
dbo|ZQ_TYPE1|0
dbo|TF_MP2_Z|0
dbo|MF_JJ|0
dbo|MF_JJDD|0
dbo|MF_JJN|0
dbo|MF_JK|0
dbo|MF_JS|0
dbo|MF_JX|0
dbo|MF_JX_GX|0
dbo|MF_JY|0
dbo|MF_KH|0
dbo|MF_KHCX|0
dbo|MF_KK|0
dbo|MF_KP|0
dbo|MF_KT|0
dbo|MF_LAYOUT|0
dbo|MF_LAYOUT_DEL|0
dbo|MF_LC|0
dbo|MF_LC_SGT|0
dbo|MF_LCO|0
dbo|MF_LCR|0
dbo|MF_LHMM_SLS|0
dbo|MF_LIST|0
dbo|MF_LM|0
dbo|MF_LQ|0
dbo|MF_LS|0
dbo|MF_LS_QC|0
dbo|MF_LZ|0
dbo|MF_LZ1|0
dbo|MF_MA|0
dbo|MF_MAIL|0
dbo|MF_MAP|0
dbo|MF_MAT|0
dbo|MF_MB|0
dbo|MF_MB_B|0
dbo|MF_MC|0
dbo|MF_ME|0
dbo|MF_METH|0
dbo|MF_METH1|0
dbo|MF_METH2|0
