MENU_NAME|Tbl
DrpCW|MF_DCW
DrpCW|TF_DCW
DrpPH|MF_DPH
DrpPH|TF_DPH
DrpSCPO|MF_SCPO
DrpSCPO|TF_SCPO
DrpTJ|MF_TJ
DrpTJ|TF_TJ
DrpXH|MF_IJ
DrpXH|TF_IJ
DrpYG|MF_YD
DrpYG|TF_YD
DrpYH|MF_DYH
DrpYH|TF_DYH
DrpYI|MF_DYH
DrpYI|TF_DYH
DrpYR|MF_DYH
DrpYR|TF_DYH
FASCHKAM|MF_LHMM_SLS
FASCHKAM|TF_LHMM_SLS
FASEJ|PSWD
FASGYPG|MF_GYPG
FASGYPG|TF_GYPG
FASPG|MF_PGFA
FASPG|TF_PGFA
FIXCHG|MF_FCG
FIXCHG|TF_FCG
FasCHK37|MF_SJML
FasCHK37|TF_SJML
FasCHK60|MF_CH
FasCHK60|TF_CH
FasEA|CUST
FasEB|SALM
FasECA|PRDT
FasECAG|MF_CHG
FasECAG|TF_CHG
FasECB|MY_WH
FasECF|MF_BOM
FasECF|TF_BOM
FasECN|PRD_MARK
FasED|DEPT
FasEH6|ACCN
FixAA|MF_FX
FixAA|TF_FX
FixAF|MF_SQ_FX
FixAF|TF_SQ_FX
FixAG|MF_POS_FX
FixAG|TF_POS_FX
FixAI|MF_FB
FixAI|TF_FB
FixAJ|MF_FI
FixAJ|TF_FI
FixBA|MF_FX
FixBA|TF_FX
FixBB|MF_BD
FixBB|TF_BD
FixET|MF_TY
FixET|TF_TY
FixPD|MF_PD
FixPD|TF_PD
FixQJ|MF_QC
FixQJ|TF_QC
FixSP|MF_FX_CF
FixSP|TF_FX_CF
FixSP_IFRS|MF_FX_CF
FixSP_IFRS|TF_FX_CF
FixT0|MF_TI
FixT0|TF_TI
FixYJ|MF_TY
FixYJ|TF_TY
INV|MF_DTLC
INV|TF_DTLC
INVAO|MF_TBAO
INVAO|TF_TBAO
INVCBA|MF_DYH
INVCBA|TF_DYH
INVEA|MF_ME
INVEA|TF_ME
INVEE|MF_ME
INVEE|TF_ME
INVEJ|MF_ME
INVEJ|TF_ME
INVGK|MF_GK
INVOM|MF_FMOD
INVOM|TF_FMOD
INVON|MF_FNOD
INVON|TF_FNOD
INVTRAD|TRAD_MTH
INVV5|MF_WPE
INVV5|TF_WPE
INVWW|MF_POSJB
INVXK|MF_IJ
INVXK|TF_IJ
INVZQ|MF_ZQ
INVZQ|TF_ZQ
InvAB|MF_QTS
InvAB|TF_QTS
InvABD|MF_QTS
InvABD|TF_QTS
InvABH|MF_BJFX_ZS
InvABH|TF_BJFX_ZS
InvAC|MF_QTS
InvAC|TF_QTS
InvAD|MF_POS
InvAD|TF_POS
InvADA|MF_BG
InvADA|TF_BG
InvADE|MF_FHJH
InvADE|TF_FHJH
InvAE|MF_POS
InvAE|TF_POS
InvAF|MF_POS
InvAF|TF_POS
InvAFA|MF_XQ
InvAFA|TF_XQ
InvAFC|MF_BG
InvAFC|TF_BG
InvAG|MF_POS
InvAG|TF_POS
InvAQ|MF_SQ
InvAQ|TF_SQ
InvAQC|MF_CHG
InvAQC|TF_CHG
InvAQD|MF_QGHZ
InvAQD|TF_QGHZ
InvBA|MF_PSS
InvBA|TF_PSS
InvBB|MF_PSS
InvBB|TF_PSS
InvBC|MF_PSS
InvBC|TF_PSS
InvBD|MF_BLN
InvBD|TF_BLN
InvBE|MF_BLN
InvBE|TF_BLN
InvBL|MF_ZG
InvBL|TF_ZG
InvBLA|MF_ZG
InvBLA|TF_ZG
InvBLB|MF_ZG
InvBLB|TF_ZG
InvBM|MF_BIL
InvBM|TF_BIL
InvBMA|MF_BIL
InvBMA|TF_BIL
InvBO|MF_FF
InvBO|TF_FF
InvBU|MF_SL_NX
InvBU|TF_SL_NX
InvBUB|MF_SF
InvBUB|TF_SF
InvBZ|MF_LZ1
InvBZ|TF_LZ1
InvBZC|MF_LZ1
InvBZC|TF_LZ1
InvCA|MF_PSS
InvCA|TF_PSS
InvCAA|MF_FA
InvCAA|TF_FA
InvCAD|MF_DW
InvCAD|TF_DW
InvCAF|MF_SHFW
InvCAF|TF_SHFW
InvCAI|MF_YU
InvCAI|TF_YU
InvCB|MF_PSS
InvCB|TF_PSS
InvCC|MF_PSS
InvCC|TF_PSS
InvCD|MF_BLN
InvCD|TF_BLN
InvCE|MF_BLN
InvCE|TF_BLN
InvCM|MF_BIL
InvCM|TF_BIL
InvCMA|MF_BIL
InvCMA|TF_BIL
InvCMB|MF_BDFP
InvCMB|TF_BDFP
InvCRB|MF_PX
InvCRB|TF_PX
InvCU|MF_FF
InvCU|TF_FF
InvDB|MF_PT
InvDB|TF_PT
InvDBA|MF_PT
InvDBA|TF_PT
InvDBC|MF_WI
InvDBC|TF_WI
InvDBF|MF_PT
InvDBF|TF_PT
InvDD|MF_IC
InvDD|TF_IC
InvDDA|MF_IC
InvDDA|TF_IC
InvDDB|MF_IC
InvDDB|TF_IC
InvDDC|MF_IC
InvDDC|TF_IC
InvDE|MF_IJ
InvDE|TF_IJ
InvDEA|MF_IJ
InvDEA|TF_IJ
InvDEB|MF_IJ
InvDEB|TF_IJ
InvDEE|MF_IJ
InvDEE|TF_IJ
InvDW|MF_PTM
InvDW|TF_PTM
InvDX|MF_ID
InvDX|TF_ID
InvDXB|MF_DS
InvDXB|TF_DS
InvDY|MF_IPW
InvDY|TF_IPW
InvDZ|MF_IPL
InvDZ|TF_IPL
InvFB|MF_TY
InvFB|TF_TY
InvFI|MF_QC
InvFI|TF_QC
InvFP|MF_TY
InvFP|TF_TY
InvFQ|MF_TY
InvFQ|TF_TY
InvFR|MF_TY
InvFR|TF_TY
InvFS|MF_QC
InvFS|TF_QC
InvFT|MF_QC
InvFT|TF_QC
InvFV|MF_TY
InvFV|TF_TY
InvGA|MF_TI
InvGA|TF_TI
InvGB|MF_TI
InvGB|TF_TI
InvGC|MF_TI
InvGC|TF_TI
InvGD|MF_TI
InvGD|TF_TI
InvGE|MF_TI
InvGE|TF_TI
InvHC|MF_HJ
InvHC|TF_HJ
InvHD|MF_HJ
InvHD|TF_HJ
InvIB|MF_CK
InvIB|TF_CK
InvIC|MF_LZ
InvIC|TF_LZ
InvICA|MF_PCLZ
InvICA|TF_PCLZ
InvIH|MF_TY
InvIH|TF_TY
InvIK|MF_LZ
InvIK|TF_LZ
InvIKA|MF_PCLZ
InvIKA|TF_PCLZ
InvIO|MF_CK
InvIO|TF_CK
InvIZ|MF_IZ
InvIZ|TF_IZ
InvJB|CARRY
InvJC|MY_XY
InvJF|MF_MAP
InvJF|TF_MAP
InvKBB|MF_BAR
InvKBB|TF_BAR
InvTRDB|MF_LIST
InvTRDB|TF_LIST
InvTRDC|MF_SHIP
InvTRDC|TF_SHIP
InvTRDEA|MF_PACK
InvTRDEA|TF_PACK
InvXA|MF_IJ
InvXA|TF_IJ
InvXB|MF_IJ
InvXB|TF_IJ
InvXC|MF_IJ
InvXC|TF_IJ
InvZX|MF_ZX
InvZX|TF_ZX
MONBC|MF_CBAC
MONBC|TF_CBAC
MTNBOM|MF_WBOM
MTNBOM|TF_WBOM
MTNCF|MF_CB
MTNCF|TF_CB
MTNKH|CUS_PACT
MTNKH|CUS_PACT1
MTNMA|MF_MA
MTNMA|TF_MA
MTNOB|MF_MFIN
MTNOB|TF_MFIN
MTNOD|MF_MFIN
MTNOD|TF_MFIN
MTNOI|MF_MOUT
MTNOI|TF_MOUT
MTNOT|MF_MOUT
MTNOT|TF_MOUT
MTNOW|MF_MFIN
MTNOW|TF_MFIN
MTNQC|MF_MTNQC
MTNQC|TF_MTNQC
MTNRR|MF_RCV
MTNRR|TF_RCV
MTNRV|MF_RCV
MTNRV|TF_RCV
MTNZF|MF_FBOM
MTNZF|TF_FBOM
MTNZI|MF_IBOM
MTNZI|TF_IBOM
MngBA|TF_KQTZ
MngBC|MF_YT
MngBC|TF_YT
MngBDB|MF_VC
MngBM|MF_JBSQ
MngBM|TF_JBSQ
MngCA|TF_KQ
MngCCC|MF_KT
MngCCC|TF_KT
MojAA1|MOLD
MojAC|MF_GR_M
MojAC|TF_GR_M
MojAD|MF_WJ_M
MojAD|TF_WJ_M
MojAEA|MF_ST_M
MojAEA|TF_ST_M
MojAEB|MF_ST_M
MojAF|MF_MSC
MojAF|TF_MSC
MojAGA|MF_WX_M
MojAGA|TF_WX_M
MojAGB|MF_WX_M
MojAGB|TF_WX_M
MojAH|MF_RSC
MojAH|TF_RSC
MojAIA|MF_RX_M
MojAIA|TF_RX_M
MojAIB|MF_RX_M
MojAIB|TF_RX_M
MojAJ|MF_QY_M
MojAJ|TF_QY_M
MojAL|MF_SQ_FX
MojAL|TF_SQ_FX
MojAM|MF_POS_FX
MojAM|TF_POS_FX
MojAN|MF_RK_M
MojAN|TF_RK_M
MojAP|MF_DB_M
MojAP|TF_DB_M
MojBE|MF_MJYCBG
MojBE|TF_MJYCBG
MojBL|MF_TX_M
MojBL|TF_TX_M
MojBN|MF_MJPT
MojBN|TF_MJPT
MojBO|MF_MJAA
MojBO|TF_MJAA
MonA2A|MF_LS
MonA2A|TF_LS
MonAA|TC_MON
MonAA|TF_MON
MonAB|MF_MON
MonAB|TF_MON
MonAC|MF_CLS
MonAC|TF_CLS
MonAD|MF_EXP
MonAD|TF_EXP
MonAR|FAX_DATA
MonAW|MF_TH
MonAW|TF_TH
MonAX|TF_CLSML
MonAX|TF_MONML
MonBA|TC_MON
MonBA|TF_MON
MonBB|MF_MON
MonBB|TF_MON
MonBC|MF_CLS
MonBC|TF_CLS
MonBD|MF_EXP
MonBD|TF_EXP
MonBQA|MF_LS
MonBQA|TF_LS
MonBR|TF_CLSML
MonBR|TF_MONML
MonBT|MF_CLS_HK
MonBT|TF_CLS_HK
MonBZA|MF_DJ
MonBZA|TF_DJ
MonBZB|MF_DJ
MonBZB|TF_DJ
MonCA|MF_CHK
MonCA|TF_CHK
MonCB|MF_CHK
MonCB|TF_CHK
MonCC41|MF_TCHK
MonCC41|TF_TCHK
MonCC42|MF_TCHK
MonCC42|TF_TCHK
MonCC421|MF_TCHK
MonCC421|TF_TCHK
MonCC45|MF_TCHK
MonCC45|TF_TCHK
MonCJ|MF_CHK1
MonCJ|TF_CHK1
MonCL|MF_KP
MonCL|TF_KP
MonCM|MF_GM
MonCM|TF_GM
MonDA|MF_BX
MonDA|TF_BX
MonDCA|MF_BAC
MonDCA|TF_BAC
MonDCB|MF_BAC
MonDCB|TF_BAC
MonDCC|MF_BDS
MonDCC|TF_BDS
MonDS|MF_JS
MonDT|MF_JK
MonDU|MF_FK
MonDU|TF_FK
MonExp|MF_EXP
MonExp|TF_EXP
MonExr|MF_EXP
MonExr|TF_EXP
MrpAA|MF_JH
MrpAA|TF_JH
MrpAAA|MF_CHG
MrpAAA|TF_CHG
MrpABA|MF_MP
MrpABA|TF_MP1
MrpAC|MF_MO
MrpAC|TF_MO
MrpACF|MF_BJ
MrpAD|MF_MN
MrpAD|TF_MN1
MrpADA|MF_DA
MrpADA|TF_DA
MrpADY|MF_DS
MrpADY|TF_DS
MrpAE|MF_MC
MrpAE|TF_MC
MrpAFC|MF_MM0
MrpAFC|TF_MM0
MrpAFD|MF_BL_FCP
MrpAFD|TF_BL_FCP
MrpAG|MF_ML
MrpAG|TF_ML
MrpAGA|MF_IJ
MrpAGA|TF_IJ
MrpAGB|MF_LM
MrpAGC|MF_SQD
MrpAGC|TF_SQD
MrpAGE|MF_SQD
MrpAGE|TF_SQD
MrpAGF|MF_SQD
MrpAGF|TF_SQD
MrpAGG|MF_IJ
MrpAGG|TF_IJ
MrpAGH|MF_IJ
MrpAGH|TF_IJ
MrpAGI|MF_ML
MrpAGI|TF_ML
MrpAGJ|MF_ML
MrpAGJ|TF_ML
MrpAGK|MF_ML
MrpAGK|TF_ML
MrpAGL|MF_ML
MrpAGL|TF_ML
MrpAGM|MF_ML
MrpAGM|TF_ML
MrpAGO|MF_QL
MrpAGO|TF_QL
MrpAGP|MF_QL
MrpAGP|TF_QL
MrpAGQ|MF_QL
MrpAGQ|TF_QL
MrpAGR|MF_QL
MrpAGR|TF_QL
MrpAGS|MF_QL
MrpAGS|TF_QL
MrpAGT|MF_QL
MrpAGT|TF_QL
MrpAGU|MF_LQ
MrpAGW|MF_PM
MrpAGW|TF_PM
MrpAHJ|MF_HJ
MrpAHJ|TF_HJ
MrpAI|MF_ECN
MrpAI|TF_ECN
MrpAIA|MF_ECN_GX
MrpAIA|TF_ECN_GX
MrpAIB|MF_ECN
MrpAIB|TF_ECN
MrpAID|MF_ECN_FX
MrpAID|TF_ECN_FX1
MrpAIE|MF_ECN_GX
MrpAIE|TF_ECN_GX
MrpAL|MF_SCPO
MrpAL|TF_SCPO
MrpALA|MF_SCPO1
MrpALA|TF_SCPO1
MrpALC|MF_SCPO
MrpALC|TF_SCPO
MrpAM|MF_RM
MrpAM|TF_RM
MrpAMA|MF_RM
MrpAMA|TF_RM
MrpANL|MF_NL
MrpANL|TF_NL
MrpAX|MF_BOM_SO
MrpAX|TF_BOM_SO
MrpAZ|MF_CS
MrpAZ|TF_CS
MrpAZA|MF_CG
MrpAZA|TF_CG
MrpAZC|MF_CG_FX
MrpAZC|TF_CG_FX1
MrpAZD|MF_OLC
MrpAZD|TF_OLC1
MrpBB|MF_TY
MrpBB|TF_TY
MrpBC|MF_MB
MrpBC|TF_MB
MrpBE|MF_TW
MrpBE|TF_TW
MrpBEA|MF_WT
MrpBF|MF_TB
MrpBF|TF_TB
MrpBG|MF_MB
MrpBG|TF_MB
MrpBH|MF_TY
MrpBH|TF_TY
MrpBHO|MF_TY
MrpBHO|TF_TY
MrpBJ|MF_TY
MrpBJ|TF_TY
MrpBK|MF_TY
MrpBK|TF_TY
MrpBL|MF_TI
MrpBL|TF_TI
MrpBLA|MF_TI
MrpBLA|TF_TI
MrpBLB|MF_TI
MrpBLB|TF_TI
MrpBLC|MF_TI
MrpBLC|TF_TI
MrpBLD|MF_TI
MrpBLD|TF_TI
MrpBN|MF_TY
MrpBN|TF_TY
MrpBO|MF_TY
MrpBO|TF_TY
MrpBR|MF_TC
MrpBR|TF_TC
MrpBRA|MF_TD
MrpBRA|TF_TD
MrpBU|MF_TY
MrpBU|TF_TY
MrpBX|MF_TE
MrpBX|TF_TE
MrpBY|MF_QTFX
MrpBY|TF_QTFX
MrpCut|MF_CUT
MrpCut|TF_CUT
MrpCutB|MF_GCB
MrpCutB|TF_GCB
MrpECV|MF_CV
MrpECV|TF_CV
MrpED|MF_ZC
MrpED|TF_ZC
MrpEDA|MF_ECN_ZC
MrpEDA|TF_ECN_ZC
MrpEE|MF_TZ
MrpEE|TF_TZ
MrpEG|MF_WR
MrpEG|TF_WR
MrpEL|MF_MV
MrpEM|MF_MV
MrpEN|MF_SCPG
MrpEN|TF_SCPG
MrpEO|MF_YQ
MrpEO|TF_YQ
MrpEPA|MF_ECN_PA
MrpEPA|TF_ECN_PA
MrpER|TZERR
MrpERW|MF_RW
MrpERW|TF_RW2
MrpEW|MF_WM
MrpEW|TF_WM
MrpFB|MF_MU
MrpFB|TF_MU
MrpFC|MF_MU
MrpFC|TF_MU
MrpFD|MF_MU
MrpFD|TF_MU
MrpFEC|MF_QC_SJ
MrpFEC|TF_QC_SJ
MrpFEH|MF_QC_XJ
MrpFEH|TF_QC_XJ
MrpFEL|MF_LS_QC
MrpFEL|TF_LS_QC
MrpFER|MF_YZ_QC
MrpFGE|MF_QC_PRJ
MrpFGE|TF_QC_PRJ
MrpFK|MF_SQC
MrpFK|TF_SQC
MrpFL|MF_QC
MrpFL|TF_QC
MrpFM|MF_QC
MrpFM|TF_QC
MrpFO|MF_QC
MrpFO|TF_QC
MrpFP|MF_MQC
MrpFP|TF_MQC
MrpFRR|KHTS_QA
MrpFU|MF_QC
MrpFU|TF_QC
MrpFV|MF_QC
MrpFV|TF_QC
MrpHSA|MF_MO
MrpHSA|TF_MO
MrpHSB|MF_TZ
MrpHSB|TF_TZ
MrpHSC|MF_TW
MrpHSC|TF_TW
MrpKB|BZPZ
MrpKB|BZZL
MrpKBD|BZPD
MrpKBD|BZZL
MrpKC|MF_BZ
MrpKC|TF_BZ
MrpMLPS|MF_MLPS
MrpZY|MF_ZY
MrpZY|TF_ZY
OTH00309|ZL_NO
OTH00311|MF_PP
OTH00311|TF_PP
OTH00393|YA_YP
OTH00407|MF_RO
OTH00407|TF_RO
OTH00415|MF_RO
OTH00415|TF_RO1
OTHBPG|YA_EXCEP
OTHBPI|T
OTHBPI|YD_COMP
OTHJHPC|MF_AJ
OTHJHPC|TF_AJ
OthAA|MF_NCQ_MC
OthAA|TF_NCQA_MC
OthAB|MF_NCQ_QT
OthAB|TF_NCQ_QT1
OthAC|MF_NCQ_SO
OthAC|TF_NCQ_SO
OthAHCA|MF_IO
OthAHCA|TF_IO
OthAMB|MF_SC_ZG
OthAMB|TF_SC_ZG
OthDFNA|MF_ABGT
OthDFNA|TF_ABGT
OthDGWD_APS|MF_APS_WD
OthDGWD_APS|TF_APS_WD1
OthGGEC6|XRF_GGEC
OthGSPGA|MF_PG_GS
OthGSPGA|TF_PG_GS
OthGSPGB|MF_PG_GS
OthGSPGB|TF_PG_GS
OthGSZZDA|MF_POS_GS
OthGSZZDA|TF_POS_GS
OthHZYQBA|MF_SCJX_HZYQ
OthHZYQBA|TF_SCJX_HZYQ
OthHZYQBB|MF_SCJX_HZYQ
OthHZYQBB|TF_SCJX_HZYQ
OthHZYQBC|MF_BOOK_HZYQ
OthHZYQBC|TF_BOOK_HZYQ
OthHZYQD|INDX
OthMCAD|MF_ZD_MC
OthMCAD|TF_ZDLJ_MC
OthMCAE|MF_GD_MC
OthMCAE|TF_GD1_MC
OthMFDC|MF_QCFZC
OthMFDC|TF_QCFZC
OthMFDD|MF_QC_XJZC
OthMFDD|TF_QC_XJZC
OthMFDE|MF_QCFZC
OthMFDE|TF_QCFZC
OthMFDJ|MF_BG_MOD
OthMFEB|MF_TRIAL
OthMFEB|TF_TRIAL
OthMFEC|MF_TRIAL
OthMFEC|TF_TRIAL
OthMFED|MF_TRIAL
OthMFED|TF_TRIAL
OthNJFSA|MF_GCYS
OthNJFSA|TF_GCYS
OthNJFSB|MF_YSTZ
OthNJFSB|TF_YSTZ
OthSHFJE|MF_FJBJ
OthSHFJE|TF_FJBJ
OthSh00003|MF_PINGSO
OthZSLG_PD|MF_PD_LG
OthZSLG_PD|TF_PD_LG1
POS|MF_PBOM
POS|TF_PBOM
POSZT|MF_POSZT
POSZT|TF_POSZT
POS_CUST|CUST
POS_CUST|POSCARD
PRECUST|PRE_CUST
PRJBA|M_BA
PRJBA|TF_BA
PosAFB|POSTK0
PosAFB|POSTK1
PosBC|POSPOS0
PosBC|POSPOS1
PosIJ|POSMF_IJ
PosIJ|POSTF_IJ
SEBAN1|SEBEI
SYSCASN|CASN
SYSPRST|PROMO
SYSPRST|PROMO1
SYSSZ|CUST_XYTZ
SebAA|MF_GR_S
SebAA|TF_GR_S
SebACA|MF_WJ_S
SebACA|TF_WJ_S
SebACB|MF_WJ_S
SebACB|TF_WJ_S
SebADA|MF_WX_S
SebADA|TF_WX_S
SebADB|MF_WX_S
SebADB|TF_WX_S
SebAEA|MF_RX_S
SebAEA|TF_RX_S
SebAEB|MF_RX_S
SebAEB|TF_RX_S
SebAF|MF_ST_S
SebAF|TF_ST_S
SebAG|MF_RK_S
SebAG|TF_RK_S
SebAH|MF_QY_S
SebAH|TF_QY_S
SebAI|MF_DB_S
SebAI|TF_DB_S
SebAO|MF_SQ_FX
SebAO|TF_SQ_FX
SebAP|MF_POS_FX
SebAP|TF_POS_FX
SebBBD|MF_BYJL
SebBBD|TF_BYJL
SebBBE|MF_SBYCBG
SebBBE|TF_SBYCBG
SebBG|MF_SBPT
SebBG|TF_SBPT
SebBN|MF_SBAA
SebBN|TF_SBAA
SebCA|MF_IJ
SebCA|TF_IJ
SebCB|MF_IJ
SebCB|TF_IJ
SgtAB|MF_BOM_SGT
SgtAB|TF_BOM_SGT
SgtAC|MF_EBOM_SGT
SgtAC|TF_EBOM_SGT
SgtAGA1|MF_ZD
SgtAGA1|TF_ZD
SgtAGA2|MF_ZD
SgtAGA2|TF_ZD
SgtAGB1|MF_ZD
SgtAGB1|TF_ZD
SgtAGB2|MF_ZD
SgtAGB2|TF_ZD
SgtAGC1|MF_ZD
SgtAGC1|TF_ZD
SgtAGC2|MF_ZD
SgtAGC2|TF_ZD
SgtAGD1|MF_ZD
SgtAGD1|TF_ZD
SgtAGD2|MF_ZD
SgtAGD2|TF_ZD
SgtAGE1|MF_ZD
SgtAGE1|TF_ZD
SgtAGF1|MF_ZD
SgtAGF1|TF_ZD
SgtAGG1|MF_ZD
SgtAGG1|TF_ZD
SgtAGH1|MF_ZD
SgtAGH1|TF_ZD
SgtAGI1|MF_ZD
SgtAGI1|TF_ZD
SgtAGI2|MF_ZD
SgtAGI2|TF_ZD
SgtAGJ1|MF_ZD
SgtAGJ1|TF_ZD
SgtAGJ2|MF_ZD
SgtAGJ2|TF_ZD
SgtBA|CNTT_SGT
SgtBA|MF_PL_SGT
SgtBBA|MF_RG_SGT
SgtBBA|TF_RG_SGT
SgtBCA|MF_RG_SGT
SgtBCA|TF_RG_SGT
SgtBDA|MF_GF_SGT
SgtBDA|TF_GF_SGT
SgtBE|MF_LC_SGT
SgtBE|TF_LC_SGT
SgtBF|CNTT_CHG_SGT
SgtBF|MF_PL_CHG_SGT
SgtFA|MF_LCO
SgtFA|TF_LCO
SgtFD|MF_LCR
SgtFD|TF_LCR
SgtHB|LC_CLN
SgtHD|MF_LCR
SgtHD|TF_LCR
SvsAA|MF_INP
SvsAA|TF_INP
SvsBA|MF_MAT
SvsBA|TF_MAT
SvsEA|MF_PG
SvsEA|TF_PG
TRDAH|MF_LCO
TRDAH|TF_LCO
TRDBC|MF_AESC
TRDBC|MF_ZA
TRDBC|TF_AESC
TRDBC|TF_ZA
TRDCD|MF_LCR
TRDCD|TF_LCR
TaxAA|INV_NO
TaxAA|INV_NO1
TaxBA|MF_SALE
TaxCA|MF_METH
TaxDD|MF_ZERO
TaxDD|TF_ZERO
UP_DEF|UP_DEF
UP_DEFA|UP_DEF
Up_DefB|UP_DEF
Up_DefC|UP_DEF_MOD
WAGDR|MF_TX
WAGDR|TF_TX
WagAK|MF_JJ
WagAK|TF_JJ
WagAKN|MF_JJN
WagAKN|TF_JJN
WagAT|MF_JB_CALC
WagAT|TF_JB_CALC
WagBA|MF_YG
WagBBB|MF_WPQTY
WagBBB|TF_WPQTY
WagBC|MF_TS
WagBC|TF_TS1
WagBJ|MF_YGDL
WagBJ|TF_YGDL
WagBMB|MF_VC
WagBOA|MF_CZSQ
WagBOA|TF_CZSQ
WagCB|TF_SZTZ
WagCCD|MF_WQ
WagCCD|TF_WQ
WagCEC|MF_FS
WagCED|MF_FQ
WagCED|TF_FQ
WagCEE|MF_JX
WagCEE|TF_JX
WagCEF|MF_JY
WagCEF|TF_JY
WagCFA|MF_FJ
WagCFA|TF_FJ
WagCR|MF_YGJZ
WagCR|TF_YGJZ
WagDB|MF_SV
WagDB|TF_SV
WagDPA|MF_SHARE1
WagDPA|TF_SHARE1
WagDV|MF_TG
WagDV|TF_TG
WagFI|MF_SJ
WagFI|TF_SJ
WagFR|MF_CGB
WagFR|TF_CGB1
WagPJ|MF_PJ
WagPJ|TF_PJ
WagTYAA|ZCSC_MF
WagTyAB|ZCJJHF_MF
